code,obec_name
CZ0100,Praha 1
CZ0100,Praha 2
CZ0100,Praha 3
CZ0100,Praha 4
CZ0100,Praha 5
CZ0100,Praha 6
CZ0100,Praha 7
CZ0100,Praha 8
CZ0100,Praha 9
CZ0100,Praha 10
CZ0100,Praha-Běchovice
CZ0100,Praha-Benice
CZ0100,Praha-Březiněves
CZ0100,Praha-Dolní Počernice
CZ0100,Praha-Dubeč
CZ0100,Praha 20
CZ0100,Praha-Klánovice
CZ0100,Praha-Koloděje
CZ0100,Praha-Kolovraty
CZ0100,Praha-Královice
CZ0100,Praha-Křeslice
CZ0100,Praha-Nedvězí
CZ0100,Praha-Satalice
CZ0100,Praha 22
CZ0100,Praha 21
CZ0100,Praha-Vinoř
CZ0100,Praha-Lipence
CZ0100,Praha-Lochkov
CZ0100,Praha-Přední Kopanina
CZ0100,Praha 16
CZ0100,Praha-Řeporyje
CZ0100,Praha-Slivenec
CZ0100,Praha 13
CZ0100,Praha-Šeberov
CZ0100,Praha-Újezd
CZ0100,Praha-Zbraslav
CZ0100,Praha-Zličín
CZ0100,Praha 11
CZ0100,Praha-Kunratice
CZ0100,Praha-Libuš
CZ0100,Praha 12
CZ0100,Praha-Velká Chuchle
CZ0100,Praha-Lysolaje
CZ0100,Praha-Nebušice
CZ0100,Praha 17
CZ0100,Praha-Suchdol
CZ0100,Praha-Ďáblice
CZ0100,Praha-Dolní Chabry
CZ0100,Praha-Čakovice
CZ0100,Praha-Troja
CZ0100,Praha 19
CZ0100,Praha 14
CZ0100,Praha-Dolní Měcholupy
CZ0100,Praha 15
CZ0100,Praha-Petrovice
CZ0100,Praha-Štěrboholy
CZ0100,Praha 18
CZ0100,Praha
CZ0201,Vysoký Újezd
CZ0201,Benešov
CZ0201,Bystřice
CZ0201,Čakov
CZ0201,Čechtice
CZ0201,Čerčany
CZ0201,Červený Újezd
CZ0201,Český Šternberk
CZ0201,Čtyřkoly
CZ0201,Divišov
CZ0201,Dolní Kralovice
CZ0201,Heřmaničky
CZ0201,Hulice
CZ0201,Hvězdonice
CZ0201,Chlum
CZ0201,Chmelná
CZ0201,Chocerady
CZ0201,Chotýšany
CZ0201,Jankov
CZ0201,Javorník
CZ0201,Keblov
CZ0201,Kondrac
CZ0201,Kozmice
CZ0201,Krhanice
CZ0201,Krňany
CZ0201,Křečovice
CZ0201,Křivsoudov
CZ0201,Kuňovice
CZ0201,Lešany
CZ0201,Libež
CZ0201,Loket
CZ0201,Louňovice pod Blaníkem
CZ0201,Maršovice
CZ0201,Mezno
CZ0201,Miličín
CZ0201,Miřetice
CZ0201,Mnichovice
CZ0201,Mrač
CZ0201,Načeradec
CZ0201,Nespeky
CZ0201,Netvořice
CZ0201,Neustupov
CZ0201,Neveklov
CZ0201,Olbramovice
CZ0201,Ostředek
CZ0201,Petroupim
CZ0201,Poříčí nad Sázavou
CZ0201,Postupice
CZ0201,Pravonín
CZ0201,Přestavlky u Čerčan
CZ0201,Psáře
CZ0201,Rabyně
CZ0201,Radošovice
CZ0201,Rataje
CZ0201,Smilkov
CZ0201,Soběhrdy
CZ0201,Struhařov
CZ0201,Střezimíř
CZ0201,Studený
CZ0201,Bílkovice
CZ0201,Tehov
CZ0201,Teplýšovice
CZ0201,Tichonice
CZ0201,Trhový Štěpánov
CZ0201,Týnec nad Sázavou
CZ0201,Veliš
CZ0201,Vlašim
CZ0201,Vojkov
CZ0201,Votice
CZ0201,Vracovice
CZ0201,Vranov
CZ0201,Vrchotovy Janovice
CZ0201,Zdislavice
CZ0201,Kamberk
CZ0201,Zvěstov
CZ0201,Chrášťany
CZ0201,Chlístov
CZ0201,Václavice
CZ0201,Borovnice
CZ0201,Ješetice
CZ0201,Drahňovice
CZ0201,Lštění
CZ0201,Slověnice
CZ0201,Litichovice
CZ0201,Všechlapy
