code,strana_name
1,Občanská demokratická strana
2,Řád národa - Vlastenecká unie
3,CESTA ODPOVĚDNÉ SPOLEČNOSTI
4,Česká str.sociálně demokrat.
5,Volte Pr.Blok www.cibulka.net
6,Radostné Česko
7,STAROSTOVÉ A NEZÁVISLÍ
8,Komunistická str.Čech a Moravy
9,Strana zelených
10,"ROZUMNÍ-stop migraci,diktát.EU"
11,Společ.proti výst.v Prok.údolí
12,Strana svobodných občanů
13,Blok proti islam.-Obran.domova
14,Občanská demokratická aliance
15,Česká pirátská strana
16,OBČANÉ 2011-SPRAVEDL. PRO LIDI
17,Unie H.A.V.E.L.
19,Referendum o Evropské unii
20,TOP 09
21,ANO 2011
22,Dobrá volba 2016
23,SPR-Republ.str.Čsl. M.Sládka
24,Křesť.demokr.unie-Čs.str.lid.
25,Česká strana národně sociální
26,REALISTÉ
27,SPORTOVCI
28,Dělnic.str.sociální spravedl.
29,Svob.a př.dem.-T.Okamura (SPD)
30,Strana Práv Občanů
